         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1075    0.005    0.000    0.022    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:1180(_update_props)
       12    0.000    0.000    0.021    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:221(clear)
      724    0.001    0.000    0.021    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:147(<lambda>)
      177    0.003    0.000    0.021    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:274(__init__)
    72/36    0.001    0.000    0.020    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:506(_get_bbox_and_child_offsets)
    42/38    0.000    0.000    0.020    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:910(reset_ticks)
      724    0.001    0.000    0.020    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:1227(set)
      934    0.000    0.000    0.019    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:1216(_internal_update)
    72/36    0.000    0.000    0.019    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:512(<listcomp>)
      199    0.001    0.000    0.019    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:1201(findfont)
        2    0.000    0.000    0.018    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\PngImagePlugin.py:1250(_save)
        2    0.000    0.000    0.018    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\ImageFile.py:528(_save)
        2    0.000    0.000    0.018    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\ImageFile.py:556(_encode_tile)
       72    0.000    0.000    0.018    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:2134(__call__)
    24/16    0.000    0.000    0.018    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:474(_get_bbox_and_child_offsets)
    72/24    0.000    0.000    0.017    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:365(get_bbox)
        2    0.000    0.000    0.017    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:818(_init_axis)
    24/16    0.000    0.000    0.017    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:485(<listcomp>)
       36    0.000    0.000    0.017    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:777(_set_scale)
    20/10    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:986(_find_and_load)
       72    0.000    0.000    0.016    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:2138(tick_values)
        2    0.016    0.008    0.016    0.008 {method 'encode' of 'ImagingEncoder' objects}
       36    0.000    0.000    0.016    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\scale.py:103(set_default_locators_and_formatters)
